[15.0, 12.0]
[4.0, 25.0]
[10.0, 7.0]
[12.0, 15.0]
[12.0, 31.0]
[55.0, 36.0]
[20.0, 6.0, 7.0]
[42.0]
[7.0]
[4.0, 1.0, 504.0]
[8.0, 4.0, 7.0, 4.0]
[60.0, 5.0]
[55.0, 8.0]
[21.0, 3.0]
[20.0, 3.0]
[10.0, 10.0]
[8.0, 33.0]
[2.0, 23.0]
[11.0, 8.0]
[20.0, 14.0]
[2.0, 1.0, 8.0]
[1.0, 15.0, 3.0, 3.0]
[365.0, 12.0]
[25.0, 247.0]
[28.3, 5.0]
[3.0, 2.5]
[3.0, 18.0]
[115.0, 12.0]
[4.0, 9.0]
[9.0, 8.0]
[4.0, 6.0]
[9.0, 7.0]
[9.0, 6.0]
[2.0, 3.0]
[6.0, 8.0]
[6.0, 3.0]
[2.0, 9.0]
[18.0, 47.0]
[45.0, 11.0]
[20.0, 21.0]
[49.0, 25.0]
[37.0, 10.0]
[36.0, 11.0]
[33.0, 27.0]
[5.0, 86.0]
[4.0, 15.0]
[2.0, 26.0]
[7.0, 47.0]
[8.0, 85.0]
[57.0, 95.0]
[91.0, 88.0]
[4.0, 73.0]
[42.0, 38.0, 47.0]
[33.0, 44.0]
[21.0, 49.0]
[41.0, 30.0]
[10.0, 38.0]
[40.0, 41.0]
[38.0, 44.0]
[14.0, 29.0]
[18.0, 41.0]
[5.0, 46.0]
[75.0, 52.0]
[67.0, 52.0]
[39.0, 3.0]
[76.0, 5.0]
[13.0, 3.0]
[63.0, 55.0]
[2080.0, 17.0]
[347.0, 198.0]
[873.0, 563.0]
[212.3]
[9365290.0, 3837082.0]
[8.0, 2.0]
[7.0, 4.0]
[8.0, 2.0]
[7.0, 3.0]
[8.0, 2.0]
[39.0, 14.0]
[35.0, 18.0]
[87.0, 13.0]
[64.0, 14.0]
[98.0, 93.0]
[79.0, 63.0]
[64.0, 32.0]
[760.0, 418.0]
[616.0, 147.0]
[676.0, 224.0]
[709.0, 221.0]
[3.0, 2.0]
[8.0, 4.0]
[5.0, 2.0]
[4.0, 3.0]
[5.0, 2.0]
[5.0, 3.0]
[9.0, 2.0]
[8.0, 3.0]
[9.0, 3.0]
[7.0, 3.0]
[9.0, 4.0]
[7.0, 3.0]
[9.0, 2.0]
[43.0, 27.0]
[31.0, 13.0]
[30.0, 16.0]
[40.0, 22.0]
[47.0, 25.0]
[43.0, 23.0]
[33.0, 26.0]
[46.0, 25.0]
[33.0, 18.0]
[46.0, 70.0]
[51.0, 90.0]
[63.0, 49.0]
